"Arrogant","Creative","Confident","Desirable","Humorous","Decision","Female","Age","Rater.Age","word.count"
1,5,4,4,3,2,1,29,28,112
3,4,4,4,4,2,1,50,36,48
2,4,5,5,2,2,1,20,29,110
3,4,5,4,2,2,1,25,29,125
2,5,6,5,3,1,1,30,37,96
4,3,6,2,3,1,1,22,23,116
5,5,6,5,6,2,1,28,21,255
1,6,6,6,5,2,1,37,50,92
5,5,7,5,3,2,1,39,42,109
5,4,6,5,3,2,1,25,21,69
1,2,1,2,1,2,1,23,21,116
1,6,5,7,5,2,1,30,29,109
2,6,6,6,4,1,1,20,30,161
5,6,5,5,6,2,1,28,36,105
2,5,6,7,6,2,1,27,28,182
3,5,5,3,5,1,1,31,41,62
1,1,5,3,5,1,1,27,33,85
3,6,5,6,6,2,1,26,22,88
2,4,4,5,4,2,1,22,24,86
2,2,6,6,7,2,1,25,27,71
1,5,6,7,5,2,1,27,20,152
5,5,5,6,3,2,1,31,25,128
1,3,4,5,4,2,1,26,21,73
3,2,5,2,2,1,1,40,38,160
4,4,4,4,5,1,1,40,22,96
5,3,3,3,3,1,1,21,39,65
6,5,7,4,6,2,1,39,28,165
6,5,7,5,4,1,1,40,45,62
5,2,5,3,2,1,1,28,30,86
7,4,7,3,3,1,1,31,24,284
2,4,4,4,4,2,1,23,28,34
4,4,4,4,4,1,1,24,28,32
6,5,7,4,4,1,1,35,24,167
2,2,2,2,3,1,1,33,41,131
1,4,5,3,4,1,1,33,21,92
2,5,4,4,3,2,1,33,22,124
1,2,4,1,1,1,1,27,35,71
3,5,5,5,4,1,1,21,21,117
1,5,5,5,4,1,1,21,21,153
1,2,4,1,2,1,1,25,45,58
1,6,7,7,6,2,1,25,31,148
6,5,6,3,2,1,1,33,32,76
2,2,4,3,3,1,1,22,38,32
6,5,6,5,5,2,1,19,37,128
5,4,4,3,4,1,1,31,32,58
6,1,6,2,2,1,1,23,29,108
2,4,5,5,5,2,1,39,29,112
3,6,6,4,5,2,1,27,31,91
4,4,6,3,2,1,1,29,48,173
5,6,6,4,4,1,NA,NA,42,NA
3,6,6,6,5,2,1,38,42,53
2,5,5,4,5,1,1,25,22,78
3,4,4,2,2,1,1,28,29,116
3,5,5,6,5,2,1,25,22,153
1,5,3,4,3,2,1,24,37,77
5,3,5,3,3,1,1,27,39,86
1,7,6,7,5,2,1,25,26,76
5,7,7,7,6,2,1,25,30,65
1,7,1,1,7,1,1,27,27,175
1,1,1,1,1,1,1,19,21,113
2,7,2,6,4,2,1,36,27,126
5,6,5,5,6,2,1,21,33,68
4,5,6,2,5,1,1,25,27,77
1,4,4,3,4,1,1,22,32,82
